title,main_author,pages,rating,firstPublishDate,publisher,numAwards,awards,genres2,cleaned_genres,cleaned_date
Dracula,Bram Stoker,488,4,5/26/1997,Norton,0,[],"Classics, Horror, Fiction, Fantasy, Vampires, Gothic, Paranormal, Literature, Audiobook, Supernatural",,5/26/1897
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,288,3.81,10/28/2018,Penguin Classics,0,[],"Classics, Fiction, Horror, Science Fiction, Gothic, Fantasy, School, Literature, Novels, 19th Century",,1/1/1818
The Stand,Stephen King ,1153,4.34,10/3/1978,Doubleday Books,4,"['Locus Award Nominee for Best SF Novel (1979)', 'World Fantasy Award Nominee for Best Novel (1979)', 'Gandalf Award Nominee (1979)', 'Balrog Award Nominee for Best Novel (1979) (1980)']","Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic, Thriller, Dystopia, Apocalyptic, Audiobook, Classics",,1/1/1978
Interview with the Vampire,Anne Rice,342,4,4/12/1976,Ballantine Books,1,['British Fantasy Award Nominee for Best Novel (1977)'],"Horror, Fantasy, Fiction, Vampires, Paranormal, Supernatural, Classics, Gothic, Urban Fantasy, Historical Fiction",,4/12/1976
The Shining,Stephen King ,659,4.23,1/28/1977,New English Library (Hodder & Stoughton),2,"['Locus Award Nominee for Best Fantasy Novel (1978)', 'Gandalf Award Nominee (1978)']","Horror, Fiction, Thriller, Classics, Fantasy, Mystery, Paranormal, Suspense, Novels, Adult",,1/28/1977
It,Stephen King ,1116,4.24,9/15/1986,New English Library,4,"['Locus Award Nominee for Best Fantasy Novel (1987)', 'World Fantasy Award Nominee for Best Novel (1987)', 'Colorado Blue Spruce Young Adult Book Award (1994)', 'British Fantasy Award for Best Novel (1987)']","Horror, Fiction, Thriller, Fantasy, Audiobook, Mystery, Adult, Paranormal, Classics, Novels",,9/15/1986
The Silence of the Lambs,Thomas Harris,421,4.2,10/28/1988,Arrow Books,5,"['Bram Stoker Award for Best Novel (1988)', 'World Fantasy Award Nominee for Best Novel (1989)', 'Anthony Award for Best Novel (1989)', 'Grand Prix de Littérature Policière for Romans étrangers (1991)', 'このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (1989)']","Horror, Fiction, Thriller, Mystery, Crime, Suspense, Mystery Thriller, Classics, Novels, Drama",,7/1/1988
Misery,Stephen King ,370,4.17,6/8/1987,New English Library,2,"['Bram Stoker Award for Best Novel (1987)', 'World Fantasy Award Nominee for Best Novel (1988)']","Horror, Fiction, Thriller, Suspense, Mystery, Novels, Adult, Mystery Thriller, Crime, Drama",,6/8/1987
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,448,4.17,10/28/1943,Bantam Classics,0,[],"Classics, Horror, Fiction, Short Stories, Poetry, Literature, Mystery, Gothic, School, Fantasy",,01/01/1843
'Salem's Lot,Stephen King ,483,4.03,10/17/1975,New English Library,1,['World Fantasy Award Nominee for Best Novel (1976)'],"Horror, Fiction, Vampires, Fantasy, Thriller, Paranormal, Supernatural, Audiobook, Adult, Mystery",,10/17/1975
