title,main_author,pages,rating,numAwards,genres2,cleaned_genres,cleaned_date,today,age
Dracula,Bram Stoker,488,4,0,"Classics, Horror, Fiction, Fantasy, Vampires, Gothic, Paranormal, Literature, Audiobook, Supernatural",,5/26/1897,10/19/2023,126
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,288,3.81,0,"Classics, Fiction, Horror, Science Fiction, Gothic, Fantasy, School, Literature, Novels, 19th Century",,1/1/1818,10/19/2023,205
The Stand,Stephen King ,1153,4.34,4,"Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic, Thriller, Dystopia, Apocalyptic, Audiobook, Classics",,1/1/1978,10/19/2023,45
Interview with the Vampire,Anne Rice,342,4,1,"Horror, Fantasy, Fiction, Vampires, Paranormal, Supernatural, Classics, Gothic, Urban Fantasy, Historical Fiction",,4/12/1976,10/19/2023,47
The Shining,Stephen King ,659,4.23,2,"Horror, Fiction, Thriller, Classics, Fantasy, Mystery, Paranormal, Suspense, Novels, Adult",,1/28/1977,10/19/2023,46
It,Stephen King ,1116,4.24,4,"Horror, Fiction, Thriller, Fantasy, Audiobook, Mystery, Adult, Paranormal, Classics, Novels",,9/15/1986,10/19/2023,37
The Silence of the Lambs,Thomas Harris,421,4.2,5,"Horror, Fiction, Thriller, Mystery, Crime, Suspense, Mystery Thriller, Classics, Novels, Drama",,7/1/1988,10/19/2023,#NUM!
Misery,Stephen King ,370,4.17,2,"Horror, Fiction, Thriller, Suspense, Mystery, Novels, Adult, Mystery Thriller, Crime, Drama",,6/8/1987,10/19/2023,#NUM!
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,448,4.17,0,"Classics, Horror, Fiction, Short Stories, Poetry, Literature, Mystery, Gothic, School, Fantasy",,01/01/1843,10/19/2023,#VALUE!
'Salem's Lot,Stephen King ,483,4.03,1,"Horror, Fiction, Vampires, Fantasy, Thriller, Paranormal, Supernatural, Audiobook, Adult, Mystery",,10/17/1975,10/19/2023,#NUM!
Carrie,Stephen King ,253,3.96,0,"Horror, Fiction, Thriller, Paranormal, Fantasy, Classics, Supernatural, Adult, Novels, Adult Fiction",,1/1/1974,10/19/2023,#NUM!
The Exorcist,William Peter Blatty,385,4.18,1,"Horror, Fiction, Classics, Paranormal, Thriller, Supernatural, Fantasy, Religion, Audiobook, Adult",,5/1/1971,10/19/2023,#NUM!
Pet Sematary,Stephen King ,580,4,2,"Horror, Fiction, Thriller, Fantasy, Paranormal, Audiobook, Adult, Supernatural, Suspense, Mystery",,11/14/1983,10/19/2023,#NUM!
I Am Legend and Other Stories,Richard Matheson,317,4,0,"Horror, Fiction, Science Fiction, Vampires, Short Stories, Fantasy, Post Apocalyptic, Classics, Dystopia, Zombies",,1/1/1954,10/19/2023,#NUM!
Watchers,Dean Koontz ,624,4.18,2,"Horror, Fiction, Thriller, Mystery, Suspense, Science Fiction, Drama, Fantasy, Novels, Mystery Thriller",,1/1/1987,10/19/2023,#NUM!
The Haunting of Hill House,Shirley Jackson,182,3.84,1,"Horror, Classics, Fiction, Gothic, Mystery, Paranormal, Audiobook, Ghosts, Thriller, Supernatural",,10/16/1959,10/19/2023,#NUM!
Swan Song,Robert R. McCammon,956,4.28,3,"Horror, Fiction, Post Apocalyptic, Fantasy, Science Fiction, Dystopia, Apocalyptic, Thriller, Audiobook, Science Fiction Fantasy",,6/1/1987,10/19/2023,#NUM!
Red Dragon,Thomas Harris,454,4.03,0,"Horror, Fiction, Thriller, Crime, Mystery, Suspense, Mystery Thriller, Novels, Drama, Psychological Thriller",,10/1/1981,10/19/2023,#NUM!
Ghost Story,Peter Straub ,567,3.95,0,"Horror, Fiction, Paranormal, Ghosts, Mystery, Thriller, Supernatural, Fantasy, Ghost Stories, Suspense",,1/1/1979,10/19/2023,#NUM!
Rosemary's Baby,Ira Levin,308,4,1,"Horror, Fiction, Classics, Thriller, Mystery, Fantasy, Paranormal, Supernatural, Suspense, Adult",,1/1/1967,10/19/2023,#NUM!
