title,main_author,series,genres,pages,rating,firstPublishDate,publisher,numRatings,ratingsByStars,likedPercent,awards,numAwards
Dracula,Bram Stoker,Dracula #1,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal', 'Literature', 'Audiobook', 'Supernatural']",488,4,5/26/1897,Norton,938325,"['345260', '329217', '197206', '48642', '18000']",93,[],0
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,,"['Classics', 'Fiction', 'Horror', 'Science Fiction', 'Gothic', 'Fantasy', 'School', 'Literature', 'Novels', '19th Century']",288,3.81,1/1/1818,Penguin Classics,1162638,"['350758', '399756', '287215', '89125', '35784']",89,[],0
The Stand,Stephen King ,,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia', 'Apocalyptic', 'Audiobook', 'Classics']",1153,4.34,1/1/1978,Doubleday Books,616021,"['342747', '174680', '72341', '18056', '8197']",96,"['Locus Award Nominee for Best SF Novel (1979)', 'World Fantasy Award Nominee for Best Novel (1979)', 'Gandalf Award Nominee (1979)', 'Balrog Award Nominee for Best Novel (1979) (1980)']",4
Interview with the Vampire,Anne Rice,The Vampire Chronicles #1,"['Horror', 'Fantasy', 'Fiction', 'Vampires', 'Paranormal', 'Supernatural', 'Classics', 'Gothic', 'Urban Fantasy', 'Historical Fiction']",342,4,4/12/1976,Ballantine Books,484530,"['180566', '167133', '100554', '26802', '9475']",93,['British Fantasy Award Nominee for Best Novel (1977)'],1
The Shining,Stephen King ,The Shining #1,"['Horror', 'Fiction', 'Thriller', 'Classics', 'Fantasy', 'Mystery', 'Paranormal', 'Suspense', 'Novels', 'Adult']",659,4.23,1/28/1977,New English Library (Hodder & Stoughton),1126760,"['549840', '366682', '152167', '35398', '22673']",95,"['Locus Award Nominee for Best Fantasy Novel (1978)', 'Gandalf Award Nominee (1978)']",2
It,Stephen King ,,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Audiobook', 'Mystery', 'Adult', 'Paranormal', 'Classics', 'Novels']",1116,4.24,9/15/1986,New English Library,802411,"['407925', '238592', '111644', '29499', '14751']",94,"['Locus Award Nominee for Best Fantasy Novel (1987)', 'World Fantasy Award Nominee for Best Novel (1987)', 'Colorado Blue Spruce Young Adult Book Award (1994)', 'British Fantasy Award for Best Novel (1987)']",4
The Silence of the Lambs,Thomas Harris,Hannibal Lecter #2,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Suspense', 'Mystery Thriller', 'Classics', 'Novels', 'Drama']",421,4.2,7/1/1988,Arrow Books,463525,"['220765', '152905', '63537', '14735', '11583']",94,"['Bram Stoker Award for Best Novel (1988)', 'World Fantasy Award Nominee for Best Novel (1989)', 'Anthony Award for Best Novel (1989)', 'Grand Prix de Littérature Policière for Romans étrangers (1991)', 'このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (1989)']",5
Misery,Stephen King ,,"['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Novels', 'Adult', 'Mystery Thriller', 'Crime', 'Drama']",370,4.17,6/8/1987,New English Library,498604,"['217202', '177547', '81265', '16145', '6445']",95,"['Bram Stoker Award for Best Novel (1987)', 'World Fantasy Award Nominee for Best Novel (1988)']",2
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,,"['Classics', 'Horror', 'Fiction', 'Short Stories', 'Poetry', 'Literature', 'Mystery', 'Gothic', 'School', 'Fantasy']",448,4.17,01/01/1843,Bantam Classics,221639,"['96853', '78749', '36525', '6904', '2608']",96,[],0
'Salem's Lot,Stephen King ,,"['Horror', 'Fiction', 'Vampires', 'Fantasy', 'Thriller', 'Paranormal', 'Supernatural', 'Audiobook', 'Adult', 'Mystery']",483,4.03,10/17/1975,New English Library,334051,"['122020', '121352', '72184', '14697', '3798']",94,['World Fantasy Award Nominee for Best Novel (1976)'],1
